,site_id,site_name,location_type,latitude,longitude,parameter,Parameter_name,start_date,end_date,ratified_to,zone,agglomeration,local_authority
510,FAL2,Falkirk Park St,Urban Traffic,56.000657,-3.7831,NO,Nitric oxide,2007-07-01,2014-04-28,2014-04-28,Central Scotland,,Falkirk
518,FAL6,Falkirk West Bridge Street,Urban Traffic,56.000507,-3.790128,NO,Nitric oxide,2007-11-07,ongoing,2023-12-31,Central Scotland,,Falkirk
527,CUPA,Fife Cupar,Urban Traffic,56.319362,-3.013913,NO,Nitric oxide,2005-12-19,ongoing,2023-12-31,Central Scotland,,Fife
538,DUNF,Fife Dunfermline,Urban Traffic,56.07383,-3.44862,NO,Nitric oxide,2007-08-01,ongoing,2023-12-31,Central Scotland,,Fife
549,KINC,Fife Kincardine,Urban Traffic,56.068611,-3.716944,NO,Nitric oxide,2006-01-01,2007-05-11,2007-05-11,Central Scotland,,Fife
552,KIR,Fife Kirkcaldy,Urban Traffic,56.124331,-3.141347,NO,Nitric oxide,2011-02-08,ongoing,2023-12-31,Central Scotland,,Fife
563,ROSY,Fife Rosyth,Urban Traffic,56.036243,-3.417582,NO,Nitric oxide,2008-03-13,ongoing,2023-12-31,Central Scotland,,Fife
581,GL1,Glasgow Abercromby Street,Urban Traffic,55.850556,-4.231111,PM10,PM10 particulate matter (Hourly measured),2007-03-16,2019-06-29,2019-06-27,Central Scotland,Glasgow Urban Area,Glasgow City
587,GLA5,Glasgow Anderston,Urban Background,55.861667,-4.271389,NO,Nitric oxide,2005-01-01,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,Glasgow City
600,GLA8,Glasgow Battlefield Road,Urban Traffic,55.824852,-4.261541,NO,Nitric oxide,2005-06-02,2012-02-20,2012-02-20,Central Scotland,Glasgow Urban Area,Glasgow City
607,GL3,Glasgow Broomhill,Urban Traffic,55.87603,-4.318754,PM10,PM10 particulate matter (Hourly measured),2007-10-23,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,Glasgow City
615,GL6,Glasgow Burgher St.,Urban Traffic,55.851071,-4.19714,NO,Nitric oxide,2011-07-28,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,Glasgow City
626,GLA6,Glasgow Byres Road,Urban Traffic,55.874167,-4.294722,NO,Nitric oxide,2005-01-01,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,Glasgow City
657,GL9,Glasgow Dumbarton Road,Urban Traffic,55.870766,-4.318448,NO,Nitric oxide,2012-05-01,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,Glasgow City
709,GL2,Glasgow Nithsdale Road,Urban Traffic,55.836256,-4.270768,NO,Nitric oxide,2018-02-12,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,Glasgow City
733,GLA7,Glasgow Waulkmillglen Reservoir,Rural Background,55.79412,-4.354968,O3,Ozone,2005-01-01,ongoing,2023-12-31,Central Scotland,,East Renfrewshire
765,INC2,Inverclyde Greenock A8,Urban Traffic,55.944079,-4.734421,NO,Nitric oxide,2014-03-18,ongoing,2023-12-31,Central Scotland,,Inverclyde
774,INC1,Inverclyde Greenock Dunlop Street,Urban Traffic,55.94122,-4.784771,NO,Nitric oxide,2010-04-09,2013-12-07,2013-12-07,Central Scotland,,Inverclyde
792,INV03,Inverness Academy Street,Urban Traffic,57.479593,-4.22565,NO,Nitric oxide,2016-06-24,ongoing,2023-12-31,Highland,,Highland
798,INV04,Inverness Academy Street 1st Floor,Urban Traffic,57.479525,-4.225588,NO,Nitric oxide,2019-09-25,ongoing,2023-12-31,Highland,Glasgow Urban Area,Highland
812,LER3,Lerwick Staney Hill,Urban Background,60.163067,-1.162889,NO,Nitric oxide,2008-07-01,2011-12-31,2011-12-31,Highland,,Shetland Islands
819,MID2,Midlothian Dalkeith,Urban Traffic,55.894214,-3.070358,NO,Nitric oxide,2008-01-01,2011-07-07,2011-06-30,Central Scotland,,Midlothian
827,MID1,Midlothian Pathhead,Urban Traffic,55.867441,-2.967367,SO2,Sulphur dioxide,2008-01-01,2013-01-25,2013-01-25,Central Scotland,,Midlothian
832,NL013,N Lanarkshire Airdrie Kenilworth Dr,Urban Traffic,55.870001,-3.961073,NO,Nitric oxide,2019-09-07,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,North Lanarkshire
839,NL3,N Lanarkshire Chapelhall,Urban Traffic,55.84581,-3.947346,NO,Nitric oxide,2007-10-01,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,North Lanarkshire
848,NL2,N Lanarkshire Coatbridge Ellis St,Urban Traffic,55.861944,-4.029444,NO,Nitric oxide,2007-10-01,2008-12-17,2008-12-17,Central Scotland,Glasgow Urban Area,North Lanarkshire
851,NL015,N Lanarkshire Coatbridge Sunnyside Rd,Urban Traffic,55.863522,-4.029968,NO,Nitric oxide,2019-08-17,2021-02-17,2021-02-17,Central Scotland,Glasgow Urban Area,North Lanarkshire
858,NL1,N Lanarkshire Coatbridge Whifflet,Urban Background,55.851944,-4.019444,NO,Nitric oxide,2007-10-01,2022-04-07,2022-04-07,Central Scotland,Glasgow Urban Area,North Lanarkshire
867,NL017,N Lanarkshire Coatbridge Whifflet A725,Urban Traffic,55.851402,-4.019875,NO,Nitric oxide,2021-02-18,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,North Lanarkshire
876,NL4,N Lanarkshire Croy,Urban Traffic,55.957778,-4.039444,NO,Nitric oxide,2007-10-01,ongoing,2023-12-31,Central Scotland,,North Lanarkshire
887,NL5,N Lanarkshire Harthill,Urban Traffic,55.855833,-3.79,NO,Nitric oxide,2007-10-01,2009-01-20,2009-01-20,Central Scotland,,North Lanarkshire
893,NL8,N Lanarkshire Harthill West,Urban Background,55.854852,-3.79918,NO,Nitric oxide,2009-04-04,2010-05-24,2010-05-24,Central Scotland,,North Lanarkshire
899,NL11,N Lanarkshire Kirkshaws,Urban Traffic,55.843583,-4.037413,NO,Nitric oxide,2014-06-28,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,North Lanarkshire
909,NL9,N Lanarkshire Moodiesburn,Urban Traffic,55.908941,-4.082339,NO,Nitric oxide,2008-10-08,2017-07-24,2017-07-24,Central Scotland,,North Lanarkshire
916,NL6,N Lanarkshire Motherwell,Urban Traffic,55.788333,-3.986389,NO,Nitric oxide,2018-01-01,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,North Lanarkshire
925,NL016,N Lanarkshire Motherwell Adele St.,Urban Traffic,55.7826,-3.98448,NO,Nitric oxide,2020-08-07,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,North Lanarkshire
934,NL012,N Lanarkshire Motherwell Civic Centre,Urban Background,55.783432,-3.98179,PM10,PM10 particulate matter (Hourly measured),2018-07-05,2019-05-31,2019-05-31,Central Scotland,Glasgow Urban Area,North Lanarkshire
937,NL018,N Lanarkshire Ravenscraig Plantation Road,Urban Traffic,55.796182,-3.958608,NO,Nitric oxide,2022-01-27,ongoing,2023-12-05,Central Scotland,,North Lanarkshire
946,NL7,N Lanarkshire Shawhead Coatbridge,Urban Traffic,55.843523,-4.023222,NO,Nitric oxide,2009-05-01,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,North Lanarkshire
955,NL014,N Lanarkshire Uddingston New Edinburgh Rd,Urban Traffic,55.82894,-4.090571,NO,Nitric oxide,2019-08-17,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,North Lanarkshire
964,IRV,North Ayrshire Irvine High St,Urban Traffic,55.614578,-4.666786,NO,Nitric oxide,2009-02-12,ongoing,2023-12-31,Central Scotland,,North Ayrshire
973,NL10,North Lanarkshire Cumbernauld,Urban Traffic,55.943042,-4.016172,NO,Nitric oxide,2011-01-01,2014-05-01,2014-05-01,Central Scotland,,North Lanarkshire
981,PAIS,Paisley Central Road,Urban Traffic,55.846944,-4.422222,NO,Nitric oxide,2004-05-01,2014-08-22,2014-08-22,Central Scotland,Glasgow Urban Area,Renfrewshire
987,PAI2,Paisley Glasgow Airport,Suburban Industrial,55.868025,-4.425942,NO,Nitric oxide,2004-05-01,2015-07-15,2015-07-15,Central Scotland,Glasgow Urban Area,Renfrewshire
994,PAI3,Paisley Gordon Street,Urban Traffic,55.841836,-4.423958,NO,Nitric oxide,2004-05-01,2021-11-01,2021-11-01,Central Scotland,Glasgow Urban Area,Renfrewshire
1006,PAI4,Paisley St James St,Urban Traffic,55.848115,-4.426619,PM10,PM10 particulate matter (Hourly measured),2010-08-19,2018-05-04,2018-05-04,Central Scotland,Glasgow Urban Area,Renfrewshire
1022,PET2,Perth Atholl Street,Urban Traffic,56.399327,-3.434182,NO,Nitric oxide,2004-08-01,ongoing,2023-12-31,North East Scotland,,Perth and Kinross
1031,PET06,Perth Bridgend,Urban Traffic,56.401501,-3.423298,NO,Nitric oxide,2021-03-17,ongoing,2023-12-31,North East Scotland,Glasgow Urban Area,Perth and Kinross
1039,PET1,Perth Crieff,Urban Traffic,56.373126,-3.841475,NO,Nitric oxide,2010-04-01,ongoing,2023-12-31,North East Scotland,,Perth and Kinross
1048,PET07,Perth Glasgow Road,Urban Traffic,56.388236,-3.478055,PM10,PM10 particulate matter (Hourly measured),2023-09-05,ongoing,2023-12-31,North East Scotland,,Perth and Kinross
1054,PETH,Perth High Street,Urban Traffic,56.396597,-3.4324,NO,Nitric oxide,2003-06-11,2021-03-16,2021-03-16,North East Scotland,,Perth and Kinross
1062,PET3,Perth Muirton,Urban Background,56.41467,-3.44964,PM10,PM10 particulate matter (Hourly measured),2012-07-05,2023-07-13,2023-07-13,North East Scotland,,Perth and Kinross
1070,REN1,Renfrew Cockels Loan,Urban Traffic,55.863313,-4.390978,NO,Nitric oxide,2013-09-26,ongoing,2023-09-06,Central Scotland,Glasgow Urban Area,Renfrewshire
1079,REN03,Renfrew Inchinnan Road,Urban Traffic,55.877931,-4.390231,NO,Nitric oxide,2019-01-10,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,Renfrewshire
1085,REN02,Renfrewshire Johnstone,Urban Traffic,55.836203,-4.508783,PM10,PM10 particulate matter (Hourly measured),2017-07-27,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,Renfrewshire
1091,HARB,South Ayrshire Ayr Harbour,Urban Traffic,55.470162,-4.633681,NO,Nitric oxide,2012-05-05,ongoing,2023-12-31,Central Scotland,,South Ayrshire
1104,AYR,South Ayrshire Ayr High St,Urban Traffic,55.464531,-4.631673,NO,Nitric oxide,2007-09-11,ongoing,2023-12-31,Central Scotland,,South Ayrshire
1117,CARK,South Ayrshire Maybole,Urban Background,55.350641,-4.694868,NO,Nitric oxide,2010-04-08,2012-03-08,2012-03-08,Central Scotland,,South Ayrshire
1126,TARB,South Ayrshire Tarbolton,Urban Traffic,55.511047,-4.486286,NO,Nitric oxide,2009-01-01,2010-03-24,2010-03-24,Central Scotland,,South Ayrshire
1132,SLC09,South Lanarkshire Blantyre,Urban Traffic,55.793907,-4.092354,NO,Nitric oxide,2019-01-09,ongoing,2023-12-31,Central Scotland,,South Lanarkshire
1141,SL07,South Lanarkshire Cambuslang,Urban Traffic,55.818802,-4.167073,NO,Nitric oxide,2015-10-15,ongoing,2023-11-23,Central Scotland,Glasgow Urban Area,South Lanarkshire
1152,EK0,South Lanarkshire East Kilbride,Urban Traffic,55.775278,-4.163611,NO,Nitric oxide,2008-01-01,ongoing,2023-12-31,Central Scotland,,South Lanarkshire
1164,SL02,South Lanarkshire Glespin,Urban Traffic,55.532447,-3.894541,PM10,PM10 particulate matter (Hourly measured),2010-01-01,2013-07-19,2013-07-19,Central Scotland,,South Lanarkshire
1170,SL05,South Lanarkshire Hamilton,Urban Traffic,55.774018,-4.03736,NO,Nitric oxide,2013-01-01,ongoing,2023-12-31,Central Scotland,,South Lanarkshire
1181,SL03,South Lanarkshire Lanark,Urban Traffic,55.673936,-3.775658,NO,Nitric oxide,2012-01-01,ongoing,2023-12-31,Central Scotland,,South Lanarkshire
1190,SL01,South Lanarkshire Raith Interchange,Urban Traffic,55.800157,-4.057717,NO,Nitric oxide,2010-04-01,2014-04-23,2014-04-23,Central Scotland,Glasgow Urban Area,South Lanarkshire
1199,SLC08,South Lanarkshire Raith Interchange 2,Urban Traffic,55.798813,-4.058363,NO,Nitric oxide,2016-03-21,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,South Lanarkshire
1210,SL04,South Lanarkshire Rutherglen,Urban Traffic,55.828408,-4.218786,NO,Nitric oxide,2012-01-01,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,South Lanarkshire
1221,SL06,South Lanarkshire Uddingston,Urban Traffic,55.818357,-4.081839,NO,Nitric oxide,2013-01-01,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,South Lanarkshire
1230,STRL,Stirling Craig's Roundabout,Urban Traffic,56.11472,-3.932178,NO,Nitric oxide,2009-01-01,ongoing,2023-12-31,North East Scotland,,Stirling
1249,WDB2,West Dunbartonshire Balloch,Urban Traffic,55.999653,-4.589842,NO,Nitric oxide,2006-01-01,2007-04-26,2007-04-26,Central Scotland,,West Dunbartonshire
1252,WDB3,West Dunbartonshire Clydebank,Urban Traffic,55.91796,-4.406231,NO,Nitric oxide,2007-02-01,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,West Dunbartonshire
1263,WDB4,West Dunbartonshire Glasgow Road,Urban Traffic,55.943197,-4.55973,NO,Nitric oxide,2007-04-26,ongoing,2023-12-31,Central Scotland,,West Dunbartonshire
1269,WDB1,West Dunbartonshire John Knox St,Suburban Industrial,55.894167,-4.391111,NO,Nitric oxide,2005-10-01,2006-12-08,2006-12-08,Central Scotland,Glasgow Urban Area,West Dunbartonshire
1273,BRX,West Lothian Broxburn,Urban Traffic,55.934357,-3.46919,NO,Nitric oxide,2008-01-01,ongoing,2023-12-31,Central Scotland,,West Lothian
1284,LING,West Lothian Linlithgow High Street,Urban Traffic,55.976337,-3.604175,NO,Nitric oxide,2008-01-01,2013-10-14,2013-10-14,Central Scotland,,West Lothian
1293,WLC1,West Lothian Linlithgow High Street 2,Urban Traffic,55.97671,-3.59731,NO,Nitric oxide,2013-10-25,ongoing,2023-12-31,Central Scotland,,West Lothian
1304,WLN4,West Lothian Newton,Urban Traffic,55.983925,-3.455939,NO,Nitric oxide,2012-05-23,ongoing,2023-12-31,Central Scotland,,West Lothian
1315,UPH,West Lothian Uphall,Urban Traffic,55.915364,-3.501989,NO,Nitric oxide,2008-01-01,2009-11-17,2009-11-17,Central Scotland,,West Lothian
1323,WHIT,West Lothian Whitburn,Urban Background,55.866092,-3.684857,NO,Nitric oxide,2010-02-10,2012-04-03,2012-04-03,Central Scotland,,West Lothian
1,AIY008,"1st Charlton Scouts, Shepperton (sensor)",Urban Background,51.4062,-0.443486,NO2,Nitrogen dioxide,2023-11-14,ongoing,2023-12-31,South East,,Spelthorne
4,AIY007,"1st Sunbury Scouts, Sunbury (sensor)",Urban Background,51.4069,-0.417956,NO2,Nitrogen dioxide,2023-11-14,ongoing,2023-12-22,Greater London,Greater London Urban Area,Spelthorne
7,AYL9,Aylesbury Bicester Road,Urban Traffic,51.824336,-0.831856,NO,Nitric oxide,2007-10-04,2010-03-18,2009-12-31,South East,,Aylesbury Vale
10,AYL7,Aylesbury Friarage Road 2,Urban Traffic,51.816897,-0.818442,NO,Nitric oxide,2010-07-06,2013-12-18,2013-12-18,South East,,Aylesbury Vale
13,AYL8,Aylesbury Stoke Road A413,Urban Traffic,51.810183,-0.806675,NO,Nitric oxide,2006-03-02,2014-05-14,2014-05-14,South East,,Aylesbury Vale
16,AYT0,Aylesbury Tring Road 2,Urban Traffic,51.814165,-0.786939,NO,Nitric oxide,2013-12-18,2016-01-31,2016-01-31,South East,,Aylesbury Vale
19,AYLW,Aylesbury Waddesdon,Urban Traffic,51.845601,-0.926102,NO,Nitric oxide,2012-06-25,2013-02-14,2013-02-14,South East,,Aylesbury Vale
22,AY1,Aylesbury Walton Street 2,Urban Traffic,51.812443,-0.808084,NO,Nitric oxide,2014-05-14,2017-06-20,2017-06-20,South East,,Aylesbury Vale
25,AYL1,Aylesbury Winslow High St Roadside,Urban Traffic,51.943611,-0.881389,NO,Nitric oxide,2008-12-05,2010-10-01,2010-10-01,South East,,Aylesbury Vale
28,BANB,Banbury Hennef Way,Urban Background,52.075722,-1.326194,NO,Nitric oxide,2009-05-07,2012-04-16,2012-04-16,South East,,Cherwell
31,BN2,Barnet Chalgrove School,Urban Background,51.591901,-0.205992,NO,Nitric oxide,2000-08-14,ongoing,2023-12-31,Greater London,Greater London Urban Area,Barnet
35,BN1,Barnet Tally Ho,Urban Traffic,51.614675,-0.176607,NO,Nitric oxide,1998-12-20,ongoing,2023-12-31,Greater London,Greater London Urban Area,Barnet
44,BAR6,Barnsley A628 Pogmoor Roadside,Urban Traffic,53.551177,-1.50816,NO,Nitric oxide,2004-01-01,2021-08-26,2021-08-26,Yorkshire & Humberside,,Barnsley
47,BAR11,Barnsley A628 Roadside Site 2,Suburban Background,53.550392,-1.509678,NO,Nitric oxide,2021-08-26,ongoing,2023-12-31,Yorkshire & Humberside,,Barnsley
50,BAR9,Barnsley A635 Kendray Roadside,Urban Traffic,53.546658,-1.453859,NO,Nitric oxide,2009-11-10,2015-03-31,2015-03-31,Yorkshire & Humberside,,Barnsley
54,BAR5,Barnsley Royston,Urban Industrial,53.600278,-1.439444,NO,Nitric oxide,2004-01-01,2009-10-10,2009-10-10,Yorkshire & Humberside,,Barnsley
59,STS003,"Bede burn rd/York St, Jarrow (sensor)",Urban Traffic,54.977321,-1.4934,NO2,Nitrogen dioxide,2024-03-15,ongoing,Never,North East,Tyneside,South Tyneside
63,HB100,Bedford Kempston,Urban Industrial,52.105278,-0.5,SO2,Sulphur dioxide,2006-10-01,2009-08-11,2009-08-11,Eastern,,Bedford
64,HB010,Bedford Lurke Street,Urban Traffic,52.138153,-0.46663,NO,Nitric oxide,2010-05-01,2022-11-23,2022-11-23,Eastern,,Bedford
67,HB011,Bedford Prebend Street,Urban Traffic,52.135049,-0.474658,NO,Nitric oxide,2009-01-06,ongoing,2023-12-31,Eastern,,Bedford
70,HB101,Bedford Stewartby,Rural Background,52.071111,-0.512778,O3,Ozone,2000-11-16,2009-02-01,2006-07-09,Eastern,,Bedford
72,CT4,Beech Street NOx,Urban Traffic,51.520219,-0.096323,NO,Nitric oxide,2003-01-01,ongoing,2023-12-31,Greater London,Greater London Urban Area,City of London
75,CT4a,Beech Street PM,Urban Traffic,51.520177,-0.096455,PM10,PM10 particulate matter (Hourly measured),2004-01-01,ongoing,2023-12-31,Greater London,Greater London Urban Area,City of London
76,CTA,Bell Wharf Lane,Urban Traffic,51.51052,-0.09213,NO,Nitric oxide,2023-01-09,ongoing,2023-12-31,Greater London,Greater London Urban Area,City of London
80,BAI2,Birmingham Airport 2,Suburban Industrial,52.455719,-1.743912,O3,Ozone,2006-01-10,ongoing,2023-12-31,West Midlands,West Midlands Urban Area,Solihull
88,BOL03,Bolton A579 Derby Street,Urban Traffic,53.573002,-2.435176,NO,Nitric oxide,2020-10-20,ongoing,2023-12-31,North West & Merseyside,Greater Manchester Urban Area,Bolton
93,BOS2,Boston Haven Bridge Road,Urban Traffic,52.974256,-0.026847,NO,Nitric oxide,2004-07-21,2012-01-17,2011-12-31,East Midlands,,Boston
96,WIL1,"Bradford-on-Avon, Masons Lane",Urban Traffic,51.348788,-2.252262,NO,Nitric oxide,2014-06-01,ongoing,2023-12-31,South West,,Wiltshire
100,WM005,Bray A308 (sensor),Suburban Background,51.500276,-0.705166,NO2,Nitrogen dioxide,2023-12-08,ongoing,Never,South East,,Windsor and Maidenhead
103,BRE01,Breckland East Wretham,Rural Background,52.462778,0.814722,O3,Ozone,2003-01-01,ongoing,2023-12-31,Eastern,,Breckland
113,BRE02,Breckland Swaffham,Rural Traffic,52.643375,0.689958,NO,Nitric oxide,2009-01-16,ongoing,2023-12-31,Eastern,,Breckland
116,BT004,Brent Ikea,Urban Traffic,51.552476,-0.258089,O3,Ozone,2006-05-25,ongoing,2023-12-31,Greater London,Greater London Urban Area,Brent
118,HF1,Broadway,Urban Traffic,51.492766,-0.223601,NO,Nitric oxide,1999-08-23,2008-11-01,2008-10-31,Greater London,Greater London Urban Area,Hammersmith and Fulham
125,HF2,Brook Green,Urban Background,51.496496,-0.220503,NO,Nitric oxide,2003-07-28,2009-01-20,2009-01-19,Greater London,Greater London Urban Area,Hammersmith and Fulham
129,HB102,Broxbourne,Urban Traffic,51.683056,-0.0325,NO,Nitric oxide,2001-09-13,2009-04-01,2009-04-01,Greater London,Greater London Urban Area,Broxbourne
133,VS009,Burnaby Street (sensor),Urban Traffic,51.478779,-0.183424,NO,Nitric oxide,2021-05-26,2021-07-14,2021-07-14,Greater London,Greater London Urban Area,Kensington and Chelsea
137,SBPC001,Burnham Beeches (sensor),Rural Background,51.555698,-0.624745,NO2,Nitrogen dioxide,2021-03-16,ongoing,2023-12-31,South East,,South Buckinghamshire
140,BUR03,Bury Bridge,Urban Traffic,53.594678,-2.306068,NO,Nitric oxide,2022-08-08,ongoing,2023-12-31,North West & Merseyside,Greater Manchester Urban Area,Bury
143,BUR2,Bury Prestwich,Urban Traffic,53.524915,-2.277565,NO,Nitric oxide,2002-09-18,ongoing,2023-12-31,North West & Merseyside,Greater Manchester Urban Area,Bury
147,BUR1,Bury Radcliffe,Urban Traffic,53.563481,-2.330732,NO,Nitric oxide,2002-09-01,ongoing,2023-12-31,North West & Merseyside,Greater Manchester Urban Area,Bury
151,WIL8,Calne London Road,Urban Traffic,51.43534,-2.00255,NO,Nitric oxide,2016-01-06,2017-09-16,2017-09-16,South West,,Wiltshire
154,WIL2,"Calne, New Road",Urban Traffic,51.435476,-2.00307,NO,Nitric oxide,2014-06-01,2015-06-06,2015-06-06,South West,,Wiltshire
157,WIL5,"Calne, New Road 2",Urban Traffic,51.436345,-2.004275,PM10,PM10 particulate matter (Hourly measured),2015-01-14,2017-09-19,Never,South West,,Wiltshire
161,CAM3,Cambridge Gonville Place,Urban Traffic,52.199575,0.12774,NO,Nitric oxide,1998-08-25,2022-05-13,2022-05-13,Eastern,,Cambridge
166,CAM07,Cambridge Gonville Place A603,Urban Traffic,52.199488,0.127661,NO,Nitric oxide,2024-03-27,ongoing,Never,Eastern,,Cambridge
175,CAM5,Cambridge Montague Road,Urban Traffic,52.214201,0.136545,NO,Nitric oxide,2007-04-18,ongoing,2023-12-31,Eastern,,Cambridge
184,CAM4,Cambridge Newmarket Road,Urban Traffic,52.20843,0.141521,NO,Nitric oxide,2002-05-09,ongoing,2023-12-13,Eastern,,Cambridge
189,CAM1,Cambridge Parker Street,Urban Traffic,52.204608,0.125891,NO,Nitric oxide,1998-08-25,ongoing,2023-12-31,Eastern,,Cambridge
194,KX004,Camden - Coopers Lane,Urban Industrial,51.533238,-0.129594,PM10,PM10 particulate matter (Hourly measured),2009-07-01,ongoing,2023-12-31,Greater London,Greater London Urban Area,Camden
200,CD009,Camden - Euston Road,Urban Traffic,51.527975,-0.128774,NO,Nitric oxide,2011-01-29,ongoing,2023-12-31,Greater London,Greater London Urban Area,Camden
209,CD010,Camden High Street,Urban Traffic,51.540139,-0.143722,NO,Nitric oxide,2021-05-24,ongoing,2023-12-31,Greater London,Greater London Urban Area,Camden
212,CRL2,Carlisle Stanwix Bank,Urban Traffic,54.90455,-2.937022,NO,Nitric oxide,2015-01-01,2016-11-24,2016-11-24,North West & Merseyside,,Carlisle
215,HB103,Central Beds Marston Vale,Rural Background,52.064167,-0.536111,O3,Ozone,2008-07-01,2013-08-15,2013-08-15,Eastern,,Central Bedfordshire
217,HELSB,Cheshire West & Chester - Helsby,Urban Background,53.273269,-2.773889,PM10,PM10 particulate matter (Hourly measured),2016-10-19,ongoing,2023-12-31,North West & Merseyside,,Cheshire West
221,HB104,Dacorum Hemel Hempstead 1,Urban Background,51.755278,-0.473611,O3,Ozone,1996-04-15,2003-04-09,2003-04-03,Greater London,Greater London Urban Area,Dacorum
226,HB105,Dacorum Hemel Hempstead 2,Urban Background,51.755278,-0.473611,NO,Nitric oxide,2005-12-13,2006-03-08,2006-03-06,Greater London,Greater London Urban Area,Dacorum
230,HB013,Dacorum Northchurch High Street,Urban Traffic,51.770339,-0.591364,NO,Nitric oxide,2012-10-31,ongoing,2023-12-31,Eastern,,Dacorum
235,WIL3,"Devizes, Sidmouth Street",Urban Traffic,51.352198,-1.990416,NO,Nitric oxide,2014-01-01,ongoing,2023-12-31,South West,,Wiltshire
239,DUR2,Durham Crossgate,Urban Traffic,54.774859,-1.584241,NO,Nitric oxide,2012-09-28,2013-12-31,2013-12-31,North East,,Durham
242,DUR1,Durham Gilesgate,Urban Traffic,54.778873,-1.557908,NO,Nitric oxide,2011-05-15,2012-07-27,2012-07-27,North East,,Durham
245,DUR04,Durham Hawthorn Terrace,Urban Traffic,54.776175,-1.585022,NO,Nitric oxide,2017-01-30,2018-01-31,2018-01-31,North East,,Durham
248,DUR3,Durham New Elvet,Urban Traffic,54.773441,-1.571089,NO,Nitric oxide,2014-01-08,2015-12-31,2015-12-31,North East,,Durham
251,EAS10,Ealing Acton Background (sensor),Urban Background,51.514712,-0.264125,NO,Nitric oxide,2023-02-21,ongoing,2023-12-31,Greater London,Greater London Urban Area,Ealing
255,EAS03,Ealing Ada Lovelace CofE School (sensor),Urban Traffic,51.519733,-0.295648,NO,Nitric oxide,2023-02-21,ongoing,2023-12-31,Greater London,Greater London Urban Area,Ealing
259,EAS01,Ealing Alec Reed Academy (sensor),Urban Traffic,51.541725,-0.386154,NO,Nitric oxide,2023-02-21,ongoing,2023-12-31,Greater London,Greater London Urban Area,Ealing
263,EAS06,Ealing Fields High School (sensor),Urban Traffic,51.497022,-0.311504,NO,Nitric oxide,2023-02-22,ongoing,2023-12-31,Greater London,Greater London Urban Area,Ealing
267,EA010,Ealing Green Quarter,Suburban Background,51.508321,-0.391312,NO,Nitric oxide,2021-11-03,2023-11-20,2023-11-20,Greater London,Greater London Urban Area,Ealing
273,VS013,Ealing Green Quarter North (sensor),Urban Background,51.507786,-0.387627,O3,Ozone,2021-12-01,2023-11-08,2023-11-08,Greater London,Greater London Urban Area,Ealing
279,VS012,Ealing Green Quarter South (sensor),Urban Background,51.504432,-0.390906,O3,Ozone,2021-12-01,2023-11-08,2023-11-08,Greater London,Greater London Urban Area,Ealing
285,EAS09,Ealing Greenford Background (sensor),Urban Background,51.527373,-0.364972,NO,Nitric oxide,2023-05-10,ongoing,2023-12-31,Greater London,Greater London Urban Area,Ealing
289,EAS08,Ealing Havelock Primary School (sensor),Urban Traffic,51.500204,-0.374689,NO,Nitric oxide,2023-02-27,ongoing,2023-12-31,Greater London,Greater London Urban Area,Ealing
293,EAS04,Ealing John Perryn Primary School (sensor),Urban Traffic,51.518746,-0.255176,NO,Nitric oxide,2023-02-21,ongoing,2023-12-31,Greater London,Greater London Urban Area,Ealing
297,EAS07,Ealing Khalsa Primary School (sensor),Urban Traffic,51.494745,-0.369571,NO,Nitric oxide,2023-02-22,ongoing,2023-12-31,Greater London,Greater London Urban Area,Ealing
301,EAS05,Ealing King Fahad Academy (sensor),Urban Traffic,51.511197,-0.251709,NO,Nitric oxide,2023-02-21,2023-09-26,2023-09-26,Greater London,Greater London Urban Area,Ealing
305,EAS11,Ealing Lady Margaret Primary School (sensor),Urban Traffic,51.524265,-0.374168,NO,Nitric oxide,2024-02-02,ongoing,Never,Greater London,Greater London Urban Area,Ealing
309,EAS02,Ealing William Perkin CofE School (sensor),Urban Traffic,51.538727,-0.349477,NO,Nitric oxide,2023-03-15,ongoing,2023-12-31,Greater London,Greater London Urban Area,Ealing
313,HB106,East Herts Anstey,Rural Background,51.976111,0.043333,O3,Ozone,2011-05-17,2015-06-02,2014-12-31,Eastern,,East Hertfordshire
